Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$155.00,-0.85,-0.545%,2687287700000.00,United States,1980,98873837,Technology,Computer Manufacturing
ACN,Accenture plc Class A Ordinary Shares (Ireland),$250.00,-2.92,-1.155%,157435035500.00,Ireland,2001,6470849,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,$358.14,4.85,1.373%,163956492000.00,United States,1986,6721421,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$185.85,-0.78,-0.418%,94012686939.00,United States,,6216153,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$199.11,-1.48,-0.738%,42961465730.00,United States,,2216120,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$122.60,-0.23,-0.187%,103361388914.00,United States,1972,13756319,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$97.84,1.24,1.284%,159221389154.00,United States,,94014440,Technology,Semiconductors
ANET,Arista Networks Inc. Common Stock,$163.26,0.58,0.357%,50022110392.00,,2014,4640674,Technology,Computer peripheral equipment
ANSS,ANSYS Inc. Common Stock,$311.09,-2.99,-0.952%,27099745186.00,United States,1996,1048695,Technology,Computer Software: Prepackaged Software
APH,Amphenol Corporation Common Stock,$76.79,-0.93,-1.197%,45659680630.00,United States,,4728367,Technology,Electrical Products
ASML,ASML Holding N.V. New York Registry Shares,$633.69,3.13,0.496%,250047480456.00,Netherlands,1995,1108577,Technology,Industrial Machinery/Components
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$7.46,-0.21,-2.738%,16004502707.00,,2018,8095174,Technology,Semiconductors
AVGO,Broadcom Inc. Common Stock,$630.97,-5.53,-0.869%,263066324274.00,United States,2009,7929690,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$199.49,-6.10,-2.967%,12921221051.00,United States,,409441,Technology,EDP Services
BIDU,Baidu Inc. ADS,$146.84,8.68,6.283%,50740637329.00,China,2005,7683247,Technology,Computer Software: Programming Data Processing
BSY,Bentley Systems Incorporated Class B Common Stock,$40.98,-0.01,-0.024%,11818333379.00,United States,2020,1042574,Technology,Retail: Computer Software & Peripheral Equipment
CDAY,Ceridian HCM Holding Inc. Common Stock,$69.56,0.12,0.173%,10702268226.00,United States,2018,2005940,Technology,EDP Services
CDNS,Cadence Design Systems Inc. Common Stock,$206.88,-0.94,-0.452%,56465827200.00,United States,,4539568,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$129.17,0.36,0.279%,16199380592.00,Israel,1996,1052986,Technology,Computer Software: Prepackaged Software
CRM,Salesforce Inc. Common Stock,$184.85,-2.45,-1.308%,184850000000.00,United States,2004,10490221,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$133.12,-0.40,-0.30%,31202502656.00,United States,2019,5726827,Technology,EDP Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$57.79,-0.61,-1.045%,29432135974.00,United States,1998,7121809,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,$68.62,-0.59,-0.852%,21790956084.00,United States,2019,4743088,Technology,EDP Services
DELL,Dell Technologies Inc. Class C Common Stock ,$37.22,-0.83,-2.181%,26654295177.00,,2018,13487366,Technology,Computer Manufacturing
DOCU,DocuSign Inc. Common Stock,$58.52,-0.29,-0.493%,11766859141.00,United States,2018,3807249,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$91.00,-0.35,-0.383%,10973508000.00,Guernsey,,1183227,Technology,EDP Services
DT,Dynatrace Inc. Common Stock,$38.76,0.07,0.181%,11203650171.00,United States,2019,2680429,Technology,EDP Services
ENPH,Enphase Energy Inc. Common Stock,$183.64,-17.46,-8.682%,25066385842.00,United States,2012,8713188,Technology,Electrical Products
ENTG,Entegris Inc. Common Stock,$81.66,-2.44,-2.901%,12170164129.00,United States,2000,1409121,Technology,Semiconductors
EPAM,EPAM Systems Inc. Common Stock,$279.79,-0.14,-0.05%,16131292450.00,United States,2012,903393,Technology,EDP Services
ERIC,Ericsson American Depositary Shares,$5.29,-0.07,-1.306%,17615650771.00,Sweden,,7325800,Technology,Computer Software: Prepackaged Software
FICO,Fair Isaac Corproation Common Stock,$654.94,-25.03,-3.681%,16474869648.00,United States,,5150034,Technology,Computer Software: Prepackaged Software
FLT,FleetCor Technologies Inc. Common Stock,$187.20,-4.76,-2.48%,13806442166.00,United States,2010,1266076,Technology,EDP Services
FSLR,First Solar Inc. Common Stock,$199.62,-6.94,-3.36%,21280611868.00,United States,2006,5703609,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$61.22,-0.66,-1.067%,48267787450.00,United States,2009,8196978,Technology,Security Systems Services
GDDY,GoDaddy Inc. Class A Common Stock,$73.14,0.15,0.206%,11228889226.00,United States,2015,2487561,Technology,EDP Services
GEHC,GE HealthCare Technologies Inc. Common Stock ,$75.84,-0.78,-1.018%,34485206703.00,United States,,5801513,Technology,Computer Software: Prepackaged Software
GEN,Gen Digital Inc. Common Stock,$16.32,0.15,0.928%,10430592950.00,United States,,14550724,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$66.46,-0.31,-0.464%,36225581221.00,United States,2021,1993843,Technology,Semiconductors
GLW,Corning Incorporated Common Stock,$32.82,-0.51,-1.53%,27784211510.00,United States,,6649933,Technology,Industrial Machinery/Components
GOOG,Alphabet Inc. Class C Capital Stock,$102.46,1.39,1.375%,1312205220000.00,United States,2004,76110838,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$101.62,1.30,1.296%,1301447340000.00,United States,2004,60982556,Technology,Internet and Information Services
HPQ,HP Inc. Common Stock,$28.04,-0.27,-0.954%,27539368120.00,United States,,23967269,Technology,Computer Manufacturing
HUBB,Hubbell Inc Common Stock,$234.97,-6.67,-2.76%,12594531102.00,United States,2015,556131,Technology,Industrial Machinery/Components
